ID,Organization,Influence,Activity,Description,Youth,Field,Category,Level,Site
22,Asociația Little People,Medium,High,"This association was made from the desire to offer child and teenage cancer patients the support they need. It provides the field of pediatric oncology with services such as daily psychosocial support programs, events for young cancer survivors,  profesionalism in volunteer coordination, etc.",Youth,Health related,Non-governmental organisations,EU,https://www.thelittlepeople.ro/en/
23,Centrul Județean De Resurse Și De Asistență Educațională,,High, ,Youth,Education related,Governmental,National,https://cjraecluj.ro/cjrae/
24,HHC Romania (Hope and Homes for Children),Low,Medium," They fight against the institunalisation of children, their misssion being to lose all orphanages in Romania by 2027 and to prevent families breaking apart because of poverty.",Youth,Social related,Non-governmental organisations,EU,https://hopeandhomes.ro/
25,Accept,High,High,It is a non-governmental organisation that promotes LGBTQ right at a national level. They wish to change the mentality of Romanians regarding LGBT and to create a society where sexual orientation and gender are considered simple characteristics of human beings.,Youth,Social related,Non-governmental organisations,Local,https://www.acceptromania.ro/
26,Caritas,,,"They aim to help the poor and marginalised to have a decent life, throught programs of social assistence and charitable actions. There are 10 active Caritas organisations in Romania, which facilitate services to children from unfavorable conditions, people with special needs, elders, etc.",Youth,Religious organizations ,Non-governmental organisations,National,https://www.caritas-cluj.ro/
27,Centrul de sănătate ARAS,High,High," They aim to develop health services with a hollistic apporoach to health, in order to offer support and councelling to people. They offer medical help, as wel as psycotherapy and psychological help. They also promote prevention and councelling for diseases such as HIV, HBV and HCV.",Youth,Health related,Non-governmental organisations,National,http://www.centrularas.ro/
28,Directia Generală de Asistență Socială și Protecția Copilului,High,," Their aim is to protect the rights of families, children and any adult with disabilities by mobilising resources and partnerships with organisations that hold activities in correlation with social assistence. Their mission is to offer a system of social assistence to people in need and to offer social and universal security. ",Youth,Social related,Governmental,National,https://www.dgaspc-cluj.ro/
29,"The Peace Action, Training and Research Institute of Romania ",,,,Youth,Social related,Non-governmental organisations,Local,https://patrir.ro/
30,ANOSR,High,Low," The National Alliance of Student Organizations in Romania (ANOSR) is the first and most important student federation, non-governmental and non-partisan. ANOSR has brought together most of the traditional student organizations, established immediately after the revolution. This representativeness is recognized and supported by important organizations in civil society, the media, the academic community and important central actors such as the Ministry of National Education.
Currently, ANOSR has 115 student organizations from 19 university centers and 31 universities in Romania.",Youth,Education related,Non-governmental organisations,National,https://anosr.ro/
31,CLINICA UNIVERSITARĂ DE PSIHOLOGIE BABEȘ-BOLYAI PSYTECH,,High, ,Youth,Health related,Education,National,http://clinicadepsihologie.psiedu.ubbcluj.ro/
32,Mental Health for Romania,,High, ,Youth,Social related,Non-governmental organisations,National,https://mentalhealthforromania.org/en/home/
33,The REThink Platform at DATA Lab ,,, ,Youth,Health related,Research & Academia,National,https://rethinkplatform.ro/
34,Asociatia Umanitara Concordia,,,,Youth,Social related,Non-governmental organisations,EU,https://www.concordia.org.ro/
35,Coalitia pentru Educatie,,, ,Youth,Education related,Non-governmental organisations,National,http://coalitiaedu.ro/
36,AIESEC,Medium,Low, ,Youth,Youth related,Non-governmental organisations,Global,
37,ThinkUp Academy,Medium,Medium,,Youth,Youth related,Non-governmental organisations,National,
38,UNSR,,, ,Youth,Youth related,Non-governmental organisations,,
39,Young Roma Maramureș,Medium,High, ,Youth,Youth related,Non-governmental organisations,,
40,PONT Group RO,Medium,Medium,,Youth,Youth related,Non-governmental organisations,,
41,Filia Center,High,High,,Youth,Social related,Non-governmental organisations,,
42,Clusterul de Educație C-EDU,Medium,Low,,Youth,Education related,Non-governmental organisations,,
43,Wello,Low,High,,Youth,Health related,,,
44,Cluj Cultural Center,High,Medium,,Youth,Social related,Non-governmental organisations,,
45,Teach for Romania ,High,High, ,Youth,Education related,Non-governmental organisations,,
46,Merito,,, ,Youth,Education related,Non-governmental organisations,,
47,Romanian Business Leaders,High,Medium,,Youth,Social related,Non-governmental organisations,,
48,Rațiu Center for Democracy,Low,Low, ,Youth,Social related,Non-governmental organisations,,
49,Cluj County School Inspectorat,High,Low, ,Youth,Education related,Education,,
50,AVE ,High,Medium,,Youth,Education related,Non-governmental organisations,,
51,Cluj Napoca City Hall,High,Low,,Youth,Political related,Governmental,,
52,Mușatinii Association ,Low,Low, ,Youth,Youth related,Non-governmental organisations,,
53,Cluj County Council,High,Low,,Youth,Political related,Governmental,,
54,"Music Academy Gheorghe Dima, Cluj-Napoca",Low,Low, ,Youth,Education related,Private,,
55,"Computer Science, Faculty of Mathematics - BBU",,, ,Youth,Education related,Research & Academia,,
56,UN Youth Romania Association,Low,Low, ,Youth,Youth related,Non-governmental organisations,,http://unyouthdelegate.ro/?fbclid=IwAR286AKba-Y1rxbDgRa8F3swmgVsdcK1c3DTEWcABoOf1e7TYvciM3akGIM
57,Romanian Students Union (USR),High,Low, ,Youth,Youth related,Non-governmental organisations,,https://uniunea-studentilor.ro/?fbclid=IwAR0OKOivIFLvHIzADXDPbW9k90dOZV7hydjVfcPgzlWsOPaHz-r8TTtz1jA
58,National Students Council ,High,Low, ,Youth,Youth related,Non-governmental organisations,,https://consiliulelevilor.ro/?fbclid=IwAR2mqv7nRo7NFQvquWJe4-va_7i2snIOnehxDUCOx0UzoL9NYe_Ec7Crld0
59,Iuliu Hațieganu University of Medicine and Pharmacy,High,High, ,Youth,Education related,Research & Academia,,
60,University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca,Medium,Low, ,Youth,Education related,Research & Academia,,
61,Technical University of Cluj-Napoca,,, ,Youth,Education related,Research & Academia,,
62,Itsy Bitsy ,Medium,Medium, ,Youth,Family related,Media,,
63,Asociatia OvidiuRo,,, ,Youth,Education related,Non-governmental organisations,,
64,Asociația Reality Check,,, ,Youth,Social related,Non-governmental organisations,,
65,INIŢIATIVA AMBASADORILOR PENTRU EDUCAȚIE TIMPURIE,,,,Youth,Education related,Non-governmental organisations,,
66,Casele corpului Didactic din Romania ,,, ,Youth,Education related,Education,,
67,Barefoot Love,High,High,,Youth,Social related,Non-governmental organisations,,https://dragostedesculta.ro/
68,"Ministry of the Family, Youth and Equal Chances",High,Medium,,,,,,
69,Romanian Youth Council,High,Medium,,,,,,
70,CES ,,,,,,,,
71,CES/ Choise,,,,,,,,
72,Cognosis,Medium,High,,,,,,
73,Affinity Hub,,,,Youth,Health related,Private,Local,https://www.affinitycluj.com/?team=amfiana-botez
74,Mental Training,,High,,Youth,Health related,Private,Local,https://mental-training.ro/
75,Terra-Pi,,High,,Youth,Health related,Private,Local,https://terra-pi.ro/
76,Reflect Therapy,,High,,Youth,Health related,Private,Local,
77,Psi8imal,,High,,Youth,Health related,Private,Local,
78,Med Anima,,High,,,Health related,Private,National,https://medanima.ro/servicii/psihoterapie-on-line-iasi?gclid=Cj0KCQjwsIejBhDOARIsANYqkD23fqkEfTzU0RWT0SyjIjQEeu_tUYCLZWSttUXIa67PReEeIhurKr8aAmLsEALw_wcB
79,Hope Clinic,,High,,,Health related,Private,Local,https://clinica-hope.ro/psihoterapie/?gclid=Cj0KCQjwsIejBhDOARIsANYqkD232mmUwJ-H9eunbV1t07j9ma4NIQsCXXRugIeKk56et1q3sI9PiT4aAieCEALw_wcB
80,The Association for Integrative Psychoterapy and Clinic Psychology,High,High,,,Health related,Private,Local,https://www.apipc.ro/
81,Eleven Psychology Clinic,,High,,,Health related,Private,Local,https://eleven-clinic.com/
82,PsihoHelp,,High,,,Health related,Private,National,https://psihohelp.ro/
83,Realist Dreamer,,High,,,Health related,Private,National,https://psychologycenter.ro/despre
84,ArtiViStory,Low,Medium,,Youth,Art related,Private,National,https://www.facebook.com/people/Artivistory-Collective/100083818658366/?paipv=0&eav=AfZN7JEv-FGY1lojDmh46C1FYs7RAPVWPUklGKM4Ie2Mfig8TOGMnWSebZ3to553mQ0&_rdr
85,Student Organization From Art & Design University,,High,,,Health related,Private,National,
86,Linnify,,High,,,Health related,Private,National,https://www.linnify.com/
87,Universitatea Alexandru Ioan Cuza Iasi,,,,,,,,
88,Universitatea din Bucuresti,,,,,,,,
89,Clinica Alegria,,,,,Health related,Private,Local,https://clinicaalegria.ro/
90,Clinica Nice,,,,,Health related,Private,Local,https://psihiatrice.ro/
91,Centrul Medical Bellanima,,,,,Health related,Private,Local,https://www.bellanima.ro/
92,Clinica Senex,,,,,Health related,Private,Local,https://clinicasenex.ro/
93,Clinica The Mind,,,,,Health related,Private,Local,https://www.themind.ro/
94,Clinica Aproape,,,,,Health related,Private,Local,https://clinicaaproape.ro/
95,Clinica Renia,,,,,Health related,Private,Local,https://clinicarenia.ro/
96,Clinica Psy For You,,,,,Health related,Private,Local,https://psyforyou.ro/
97,Maze Center,,,,,Health related,Private,Local,https://mazecenter.ro/
98,Centrul de Psihoterapie IPSI,,,,,Health related,Private,Local,https://ipsi.ro/
99,Clinica de Psihoterapie Oana Nicolau,,,,,Health related,Private,Local,https://www.reginamaria.ro/clinici/clinica-de-psihoterapie-oana-nicolau
100,Academia de psihosomatică,,,,,Health related,Private,Local,https://academiadepsihosomatica.md/
101,Clinica Consuela,,,,,Health related,Private,Local,http://consuela.md/
