ID,Organization,Expertise,Field,Category,Interest,Influence,Activity,Youth,Level,Site
11,Ministry of Environment,"They are one of the government-owned ministries of Romania, and they have the mission to protect the environment and to increase citizens' life quality.",Environment,Public,Low,High,Low,Youth-focused,National,http://www.mmediu.ro/
12,National Institute for Public Health,"The purpose of the institute is to offer technical and methodological support to the public health network. It supervises the health of the population regarding both communicable and non-communicable diseases, and identifies any health issues that exist within the community. The INSP is responsible for creating the methodology, tools, and indicators that are used to monitor and evaluate public health services, programs, health promotion, and health education. It also ensures that there is an integrated information and IT system in place for managing public health.",Health,Public,High,High,Low,Youth-focused,National,https://insp.gov.ro/
13,National Health Insurance House,They are a public institution whose primary objective is coordinating Romania's public health insurance system.,Health,Public,Low,High,High,Youth-focused,National,https://cnas.ro/
14,Day of Good,"They are an organization from Romania that helps new NGOs and communities to find specific solutions to problems related to education, health (physical, emotional and mental), social inclusion, poverty and the environment. ",Social,Non-governmental,High,Low,High,Youth-focused,National,https://www.zidebine.ro/
15,Magic Association,The Magic Association is a non-governmental organization that helps children with severe illnesses and their families.,Social,Non-governmental,High,High,High,Youth-focused,National,https://asociatiamagic.ro/despre-noi
16,National Agency for Community Programs in the Field of Education and Vocational Training (ANPCDEFP),They are an agency that manages the Erasmus+ program in Romania and offers support to those who want to apply for funding.,Youth,Public,High,Low,Low,Youth-focused,National,https://www.anpcdefp.ro/
17,National Center for Mental Health & Fight against Drugs (CNSMLA),"They are a public institution in the subordination of the Ministry of Health that assures the coordination, implementation and evaluation at the national level of mental health policies.",Health,Public,High,High,High,Youth-focused,National,https://cnsm.org.ro/despre-noi/
18,Romanian Association of Child and Adolescent Psychiatry and Associated Professions,"ARPCAPA is a professional-scientific, non-political, non-profit association founded by professionals in child and adolescent mental health, aiming to carry out, defend and promote activities related to assistance, research and professional education in the field of psychiatry.",Health,Non-governmental,High,High,High,Youth-focused,National,https://www.arpcapa.ro/
19,Mind Institute,"It is an institute specializing in psychotherapy, with 15 collaborators providing psychological services.",Health,Private,High,Low,High,Youth-focused,Regional,https://www.mindinstitute.ro
20,"The Association for Development through Education, Information and Support (DEIS)","It is a non-governmental, non-profit, and apolitical organization. They aim to facilitate young people's access to informal education and promote active citizenship. Their programs and project contribute to young people's development, personal and professional education, promoting cultural diversity, European values, voluntary work, etc.",Youth,Non-governmental,Low,Low,Low,Youth-focused,Local,https://www.deis.ro/
21,Little People Association,"They offer child and teenage cancer patients the support they need. It provides the field of pediatric oncology with services such as daily psychosocial support programs, events for young cancer survivors, professionalism in volunteer coordination, etc.",Health,Non-governmental,High,Low,High,Youth-focused,EU,https://www.thelittlepeople.ro/en/
22,"County Center of Resources and Educational Assistance (CJRAE), CLUJ","This educational institution is subordinate to the Ministry of National Education. The most important services they provide are information, school counselling, academic counselling, career guidance and speech and language therapy.",Education,Public,High,Low,High,Youth-focused,Regional,https://cjraecluj.ro/cjrae/
23,HHC Romania (Hope and Homes for Children),"They fight against the institutionalization of children, their mission being to lose all orphanages in Romania by 2027 and to prevent families from breaking apart because of poverty.",Youth,Non-governmental,High,High,High,Youth-focused,EU,https://hopeandhomes.ro/
24,Accept,It is a non-governmental organization that promotes LGBTQ rights at a national level. They wish to change the mentality of Romanians regarding LGBT and to create a society where sexual orientation and gender are considered superficial characteristics of human beings.,Social,Non-governmental,High,High,High,Youth-focused,Local,https://www.acceptromania.ro/
25,Caritas Confederation,"They aim to help the poor and marginalized have a decent life through social assistance programs and charitable actions. Ten active Caritas organizations in Romania facilitate services to children from unfavourable conditions, people with special needs, elders, etc.",Religion,Non-governmental,High,High,High,Youth-focused,National,https://caritasromania.ro/contact/
26,ARAS Health Center,"They aim to develop health services with a holistic approach to offer support and counselling to people. They provide medical help, as well as psychotherapy and psychological help. They also promote prevention and counselling for diseases such as HIV, HBV and HCV.",Health,Non-governmental,High,Low,High,Youth-focused,National,http://www.centrularas.ro/
27,General Directorate of Social Assistance and Child Protection (DGASPC) Cluj,"They aim to protect the rights of families, children and any adult with disabilities by mobilizing resources and partnerships with organizations that hold activities in correlation with social assistance. Their mission is to offer a system of social assistance to people in need and to offer social and universal security. ",Social,Public,High,High,High,Youth-focused,Regional,https://www.dgaspc-cluj.ro/
28,Peace Action Training and Research Institute of Romania (PATRIR),"The Peace Action, Training and Research Institute of Romania (PATRIR) is a non-governmental, non-profit, politically independent organization. The institute has as fundamental principles non-violence, conflict transformation, and promoting human rights through information and awareness raising by solutions-oriented, social, political and economic analysis.",Social,Non-governmental,High,High,High,Youth-focused,Local,https://patrir.ro/
29,ANOSR - The National Alliance of Students Organisations in Romania (ANOSR),"ANOSR, the National Alliance of Student Organizations in Romania, is a non-governmental and non-partisan student federation. It is the first and most significant federation in Romania, bringing together traditional student organizations established after the revolution. ANOSR is recognized and supported by various organizations in civil society, the academic community, media, and even the Ministry of National Education. Presently, ANOSR has a membership of 115 student organizations from 19 university centers and 31 universities in Romania.",Education,Non-governmental,High,High,Low,Youth-focused,National,https://anosr.ro/
30,University Clinic of Psychology Babeș-Bolyai - Psytech,"PsyTech Clinic has been considered an Excellence Center, which will reunite the best professionals in the field, trained at international standards, offer the most advanced psychological services, and establish the psychological practice standards in Cluj-Napoca and Romania overall.",Health,Research & academia,High,Low,High,Youth-focused,National,http://clinicadepsihologie.psiedu.ubbcluj.ro/
31,Mental Health for Romania,"They want to increase mental health awareness and fight the stigma against mental health conditions, primarily through educating the youth. They also want to improve access to mental health services for as many people as possible and create a community centred around mutual understanding and support.",Social,Non-governmental,High,Low,High,Youth-focused,National,https://mentalhealthforromania.org/en/home/
32,Concordia Humanitarian Association,"They coordinate and implement social projects and intervene in poor communities to help those living there to build new life stories. Through family homes, daycare centers, family homes for children, schools and social housing, they help children and young people regain their confidence, develop and start on a new path toward an independent life.",Social,Non-governmental,High,High,High,Youth-focused,EU,https://www.concordia.org.ro/
33,Coalition for Education,"The Coalition for Education is a federation that was established in 2015 by NGOs that are active in the field. Its aim is to combine energies and resources to achieve a bold vision of learning in Romania. The federation was created by a group of Non-governmental with over ten years of experience in the field and has benefited thousands of people at various levels of education, including preschoolers, students, educators, and parents.",Education,Non-governmental,Low,Low,High,Youth-focused,National,http://coalitiaedu.ro/
34,AIESEC,"AIESEC is a global platform for young people to explore and develop their leadership potential. They are a non-political, independent, not-for-profit organization run by students and recent graduates of institutions of higher education. Its members are interested in world issues, leadership and management. ",Youth,Non-governmental,Low,Low,Low,Youth-lead,Global,https://aiesec.org/
35,ThinkUp Academy,"The Academy is a student-led initiative that supports and mentors young social entrepreneurs in developing and implementing their projects. They collaborate with schools, institutions, and organizations in Romania and around the world to encourage students' involvement in their communities. Their services are free and aim to guide and support students throughout their projects.",Youth,Non-governmental,Low,Low,Low,Youth-lead,National,https://think-up.academy/en/
36,The National Union of Students from Romania (UNSR),"It is a national student federation that represents, defends and fights for the higher education system in Romania for Romanian students and their future.",Youth,Non-governmental,Low,Low,Low,Youth-lead,National,https://unsr.ro/
37,Young Roma Maramureș,"The Young Roma Maramureş Association is an organization of young Roma involved in developing disadvantaged communities, especially Roma, concerned with increasing access to education to improve their living conditions.",Youth,Non-governmental,High,Low,High,Youth-lead,Regional,https://www.facebook.com/YoungRomaMaramures/
38,PONT Group RO,"PONT Group is an organization that proposes social innovation through participation, entrepreneurship and culture, with a particular focus on young people and digitalization. The PONT Group carries out its activity through framework programs and specific projects through intersectoral and multidisciplinary partnerships at local, regional, national and European levels.",Youth,Non-governmental,High,Low,High,Youth-focused,National,https://ro.pontgroup.org/
39,Filia Center,"Filia is a feminist organization that makes women's voices heard through direct work in communities, advocacy, activism and outreach, research and analysis.",Social,Non-governmental,High,High,High,Youth-focused,National,https://centrulfilia.ro/
40,C-EDU Education Cluster,"C-EDU Education Cluster is an ecosystem initiative that provides a platform for dialogue and collaboration between key players in formal education. Its goal is to support young people in their professional development by enhancing the learning environment and promoting lifelong learning. C-EDU fosters a relationship of dialogue and collaboration among educators, the business community, and the wider community to achieve these objectives.",Education,Non-governmental,High,Low,Low,Youth-focused,National,https://c-edu.ro/
41,Wello,"Wello's AI platforms aim to be a companion for parents and children, providing accurate nutritional information.",Health,Non-governmental,High,Low,High,Youth-focused,National,https://wello.ai/ro
42,Cluj Cultural Center,"The Cluj Cultural Center is a non-governmental culture and sustainable development organization. The center manages programs to develop the cultural sector and increase the impact of culture in society in education, health, well-being, and urban and rural development.",Art,Non-governmental,High,Low,High,Youth-focused,Regional,https://cccluj.ro/
43,Teach for Romania ,"Teach for Romania is a non-governmental organization that recruits and trains valuable people to become teachers and educators in public schools in Romania, starting from the most challenging communities. At Teach for Romania, we believe every child in Romania has the right to have a quality education.",Education,Non-governmental,High,High,High,Youth-focused,National,https://faradiscriminare.ro/inscrie-te-la-consultarile-publice-privind-discriminarea-si-segregarea-scolara-evenimentul-se-desfasoara-in-opt-judete-ale-tarii/
44,Romanian Business Leaders,"Romanian Business Leaders is where they were born in recent years, projects with a significant impact on Romanian society, such as RePatriot, Merito, I Want to Be an Entrepreneur, SuperTeach, Entrepreneurship, ScaleOut, Entrepreneurship and Training for the Future.",Social,Non-governmental,Low,High,Low,Youth-focused,National,https://www.rbls.ro/
45,Rațiu Center for Democracy,"The Rațiu Democracy Centre is a non-governmental organization established in Turda in 2004 to continue the legacy and lifetime commitment to democracy of Ion Rațiu (1917-2000), currently focusing on legal education and youth participation. It is located in the old centre of the town, in the Rațiu Compound, the family's former residence, featuring a collection of historical buildings.",Social,Non-governmental,Low,Low,Low,Youth-focused,EU,https://ratiucentre.com/
46,Cluj County School Inspectorate,"The Cluj County School Inspectorate is a complex and modern organization which aims to develop at the county level an attractive, innovative, accessible, flexible and relevant educational training system about the requirements of the socio-economic, cultural and sports environment.",Education,Research & academia,Low,High,Low,Youth-focused,Local,https://www.isjcj.ro/
47,Association for Values ​​in Education (AVE) ,They want to help people and organizations create success through education. Facilitates the involvement of private companies and civil society in Romania in initiatives with a transformational impact on the education system.,Education,Non-governmental,High,Low,High,Youth-focused,National,https://ave-romania.ro/
48,Cluj Napoca City Hall,"The Cluj-Napoca City Hall is the seat of government for Cluj-Napoca, Romania.",Political,Public,High,High,Low,Youth-focused,Local,https://primariaclujnapoca.ro/
49,Roman Mușatinii Association ,Their mission is to contribute to the development of the local community through actions coordinated by young people but involving all age groups.,Youth,Non-governmental,Low,Low,Low,Youth-focused,National,https://musatinii.wordpress.com/
50,Cluj County Council,,Political,Public,Low,High,Low,Youth-focused,Local,https://primariaclujnapoca.ro/consiliu-local/
51,Music Academy Gheorghe Dima,"Gheorghe Dima National Music Academy is an educational institution in Cluj-Napoca, Romania. The institution was founded in 1919 and comprises various departments, including composition, conducting, musicology, musical pedagogy, canto, choreographic pedagogy, and opera.",Education,Private,High,Low,Low,Youth-focused,Local,https://anmgdblog.ro/
52,UN Youth Romania Association,UN Youth Romania's goal is to promote UN values ​​in Romanian society.,Youth,Non-governmental,Low,Low,Low,Youth-lead,National,https://www.facebook.com/UNYouthRomania/?locale=ro_RO
53,Romanian Students Union (USR),"The Romanian Students' Union is one of the largest student federations in the country, bringing together some 118 organizations from 16 university centers.",Youth,Non-governmental,Low,High,Low,Youth-lead,National,https://uniunea-studentilor.ro/?fbclid=IwAR0OKOivIFLvHIzADXDPbW9k90dOZV7hydjVfcPgzlWsOPaHz-r8TTtz1jA
54,National Students Council ,"The National Council of Students is an independent structure that maintains a neutral position towards any religious cult, religious association, party or political formation, acting exclusively in students' interest. It is a structure formed by students, for students.",Youth,Non-governmental,High,High,Low,Youth-lead,National,https://consiliulelevilor.ro/?fbclid=IwAR2mqv7nRo7NFQvquWJe4-va_7i2snIOnehxDUCOx0UzoL9NYe_Ec7Crld0
55,Iuliu Hațieganu University of Medicine and Pharmacy,"""Iuliu Haţieganu"" University of Medicine and Pharmacy is Transylvania's oldest medical education institution.",Education,Research & academia,Low,High,High,Youth-focused,Local,http://old.umfcluj.ro/educatie-ro/admitere-ro/licenta-ro/itemlist/category/236-ghidadm2023
56,University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca,"USAMV Cluj-Napoca is an academic institution of education and research, covering a broad spectrum of specializations in fields specific to agriculture, horticulture, animal husbandry, biotechnologies, veterinary medicine, biology, environmental engineering, cadastre, forestry, food engineering.",Education,Research & academia,Low,Low,Low,Youth-focused,Local,https://www.usamvcluj.ro/
57,Technical University of Cluj-Napoca,"The Technical University of Cluj-Napoca comprises twelve faculties in two university centers, Cluj-Napoca and Baia Mare. The educational offer, organized in the Bologna system, includes bachelor's, master's and doctorate programs and continuing education programs.",Education,Research & academia,Low,High,Low,Youth-focused,Local,https://www.utcluj.ro/
58,Itsy Bitsy ,"Itsi Bitsy is a radio station (with a website) that contains topics of interest for parents of children aged 0-12, from Romania.",Parenting,Media,High,High,High,Youth-focused,National,https://www.itsybitsy.ro/
59,OvidiuRo Association,The mission of the OvidiuRO Association is to make preschool education accessible and effective for all children in Romania.,Education,Non-governmental,High,High,High,Youth-focused,National,https://www.ovid.ro/
60,Reality Check Association,"Reality Check was set up by a group of people with diverse experiences in non-profits, business, research, and public administration who have a deep understanding of Romanian realities and have worked together in different contexts to reduce poverty and increase public administration’s effectiveness.",Social,Non-governmental,High,High,High,Youth-focused,National,https://www.realitycheck.ro/?lang=en
61,Barefoot Love,"The Barefoot Love Association runs projects in the social field aimed at actions such as collecting firewood, building a house, and buying supplies, all for people with a low income.",Social,Non-governmental,High,Low,High,Youth-focused,Regional,https://dragostedesculta.ro/
62,"Ministry of the Family, Youth and Equal Chances","The Ministry carries out the policies correlated with the European and International policies in the following areas:  family and demography, youth, protection of children’s rights and adoption, domestic violence, and equal opportunities for women and men. ",Political,Public,Low,High,Low,Youth-focused,National,https://mfamilie.gov.ro/1/
63,Romanian Youth Council,"CTR represents young people and youth organizations in Romania in national and international decision-making processes and supports their direct participation in these processes and at local and institutional/organizational levels, as well as increasing the capacity of young people and their organizations to influence the communities they are living.",Youth,Non-governmental,High,High,Low,Youth-lead,National,https://ctr.ro/en/homepage/
64,Economical and Social Council,"The Economic and Social Council has an advisory role in establishing the country's economic and social strategy and policy, mitigating disputes among the social partners at the national level, and achieving, promoting and developing social dialogue and solidarity.",Political,Public,High,High,High,Indirect impact,National,https://www.ces.ro/consiliul-economic-si-social/ro/1
65,ALEG Association,"Their mission is to help people live without abuse and violence. It gives girls and women the support they need to find their inner strength to overcome violence. It promotes gender equality, which means balanced power relations between women and men in the family and society.",Health,Non-governmental,High,Low,High,Youth-focused,National,https://www.facebook.com/alegromania/?locale=ro_RO
66,Cognosis,Cognosis is the Romanian federation that includes student organizations in psychology.,Youth,Non-governmental,High,Low,High,Youth-lead,National,https://cognosis.ro/
67,Affinity Hub,,Health,Private,High,Low,High,Youth-focused,Local,https://www.affinitycluj.com/?team=amfiana-botez
68,Mental Training,,Health,Private,High,Low,High,Youth-focused,Local,https://mental-training.ro/
69,Terra-Pi,,Health,Private,High,Low,High,Youth-focused,Local,https://terra-pi.ro/
70,Reflect Therapy,,Health,Private,High,Low,High,Youth-focused,Local,https://www.reflect-therapy.ro/
71,Psi8imal,"They offer psychotherapy, learning experiences and the opportunity to strengthen your mental health. Their team consists of people with diverse interests, ready for any challenge.",Health,Private,High,Low,High,Youth-focused,Local,https://psi8imal.ro/
72,Med Anima,It is a medical center dedicated to neuropsychiatric conditions in Romania and a promoter of innovations and research in the field.,Health,Private,High,Low,High,,National,https://medanima.ro/servicii/psihoterapie-on-line-iasi?gclid=Cj0KCQjwsIejBhDOARIsANYqkD23fqkEfTzU0RWT0SyjIjQEeu_tUYCLZWSttUXIa67PReEeIhurKr8aAmLsEALw_wcB
73,Hope Clinic,"The Hope Clinic, present in several cities in the country, offers integrated mental health services for the whole family.",Health,Private,High,Low,High,,National,https://clinica-hope.ro/psihoterapie/?gclid=Cj0KCQjwsIejBhDOARIsANYqkD232mmUwJ-H9eunbV1t07j9ma4NIQsCXXRugIeKk56et1q3sI9PiT4aAieCEALw_wcB
74,The Association for Integrative Psychoterapy and Clinic Psychology (APIPC),"The Association of Integrative Psychotherapy and Clinical Psychology (APIPC) aims to promote ""integration"" in psychotherapy, facilitate international communication between professional psychotherapists who use the concepts of integrative psychotherapy, and organize training courses in the targeted fields.",Health,Non-governmental,High,High,High,Indirect impact,National,https://www.apipc.ro/
75,Eleven Psychology Clinic,"Clinic Eleven, from Iași, offers complete clinical psychology services, psychological counselling and psychotherapy for mental health.",Health,Private,High,Low,High,,Local,https://eleven-clinic.com/
76,PsihoHelp,PsihoHelp is a psychological assistance clinic in Bucharest that offers online psychotherapy services.,Health,Private,High,Low,High,Youth-focused,National,https://psihohelp.ro/
77,Realist Dreamer,Realist Dreamer is a center of psychological services and training in Iași. The Realist Dreamer emphasizes learning through scientific facts and experiences and wants to grow a beautiful community of curious/balanced seekers around him.,Health,Private,High,Low,High,Youth-focused,National,https://psychologycenter.ro/despre
78,ArtiViStory,"They are a community of artists, curators, researchers and other professionals in interdisciplinary areas working together for social engagement. They express themselves through comics, sequential art, and other socially engaged contemporary art forms or discourses.",Art,Private,High,Low,High,Youth-focused,National,https://www.artivistory.com/
79,Student Organization From Art & Design University (ASUAD),"The association's objectives are to defend the rights of students of the University of Art and Design Cluj-Napoca and to promote students through artistic, cultural, scientific and entertainment events.",Education,Non-governmental,Low,Low,Low,Youth-lead,Local,https://www.facebook.com/ASUADCN/
80,Linnify,Linnify provides people with a full suite of digital services to achieve the market success of their idea.,Other,Private,High,Low,High,Indirect impact,National,https://www.linnify.com/
81,Alexandru Ioan Cuza University Iasi,"""Alexandru Ioan Cuza"" University in Iaşi is Romania's oldest higher education institution.",Education,Research & academia,Low,High,High,Youth-focused,Regional,https://www.uaic.ro/
82,The University of Bucharest,"The University of Bucharest has been ranked as one of the most prestigious universities in Romania and the South-East of Europe, earning a solid national and international reputation. Today, the University of Bucharest has almost 32,000 students and 1,300 tenured academics.",Education,Research & academia,High,High,High,Youth-focused,Regional,https://unibuc.ro/
83,Alegria Clinic,"Alegria Clinic offers full psychiatry and psychotherapy services and paid personal development programs. Still, the Health Insurance House also covers it.",Health,Private,High,Low,High,Youth-focused,Local,https://clinicaalegria.ro/
84,Nice Clinic,The NICE Clinic offers an accessible and comfortable medical procedure through online psychiatric consultations and psychotherapy. Their mission is to help people by improving their quality of life through the best current medical solutions.,Health,Private,High,Low,High,Youth-focused,Local,https://psihiatrice.ro/
85,Bellanima Medical Center,"Bellanima today offers its clients the experience and knowledge of a team of specialists in clinical psychology, psychotherapy and psychiatry to diagnose and treat a wide range of mental disorders and problems.",Health,Private,High,Low,High,Youth-focused,Local,https://www.bellanima.ro/
86,The Mind Clinic,The Mind is a clinic in Bucharest that offers numerous services in the therapy field.,Health,Private,High,Low,High,Youth-focused,Local,https://www.themind.ro/
87,Renia Clinic,"The RENIA clinic offers access to psychotherapists with thorough training and many years of experience. Their mission is to make a real, noticeable change in people's lives, teaching them to cope with the inevitable challenges and changes.",Health,Private,High,Low,High,Youth-focused,Local,https://clinicarenia.ro/
88,Psy For You Clinic,"The Psy for You team comprises psychotherapy specialists who use different therapeutic approaches, with many hours of practice in their offices. They are competent to find the most effective, adapted and current solutions and treatments for each individual.",Health,Private,High,Low,High,Youth-focused,Local,https://psyforyou.ro/
89,Maze Center,MAZE is a Center for Psychology and Psychotherapy with offices in Iasi and Bucharest.,Health,Private,High,Low,High,Youth-focused,Regional,https://mazecenter.ro/
90,IPSI Psychotherapy Center,The IPSI Center facilitates the growth of its partners by offering programs for personal development and prevention of affective and psychosomatic disorders of employees.,Health,Private,High,Low,High,Youth-focused,Local,https://ipsi.ro/
91,Oana Nicolau Psychotherapy Clinic - Regina Maria,"At the Oana Nicolau Clinic, part of the Regina Maria Network, a team of over 70 experienced psychotherapists, certified and trained in multiple types of psychotherapy - short and long-term - can help you make a positive change in your life.",Health,Private,High,High,High,Youth-focused,National,https://www.reginamaria.ro/clinici/clinica-de-psihoterapie-oana-nicolau
92,Nine Clinic,"Nine Clinic is a psychotherapy clinic whose team comprises psychology and mental health specialists with extensive experience in the public, research/academic and private sectors.",Health,Private,High,Low,High,Youth-focused,Local,https://clinica9.ro/
93,Gutenberg Association,The Gutenberg Association is the only student organization in Romania dedicated to German-speaking students.,Youth,Non-governmental,High,Low,High,Youth-lead,National,https://gutenberg.ro/
94,In Dialogue Association,,Health,Non-governmental,High,High,High,Youth-focused,Regional,http://www.indialog.org/
95,LifeLearning Association,They organize and promote life skills training projects.,Education,Non-governmental,High,High,High,Indirect impact,National,https://lifelearning.ro/
96,University of Bucharest - The Faculty of Psychology and Educational Sciences,"The University of Bucharest's Faculty of Psychology and Education Sciences is a highly regarded institution. It comprises of five departments: Psychology, Educational Sciences, Special Needs Education, Teacher Training (for future kindergarten/primary school teachers), and Continuous Training (for current secondary education teachers). Additionally, the faculty has a Doctoral School.",Education,Research & academia,High,High,High,Indirect impact,National,https://fpse.unibuc.ro/
97,National Institute for Health Service Management,,Health,Public,Low,Low,High,Indirect impact,National,www.inmss.ro
98,"County Center of Resources and Educational Assistance (CJRAE), Galați",,Education,Public,Low,Low,Low,Youth-focused,Regional,https://www.cjrae-galati.ro/
99,Tranzit House,"At Tranzit House, young individuals from orphanages are given individual attention based on their specific needs and abilities. They receive training in personal budget management, food preparation and procurement, civic responsibility, workplace interaction, conflict resolution, and coping with adversity, among other skills that equip them for a prosperous and independent life.",Social,Non-governmental,High,Low,High,Youth-focused,Local,https://asociatiafavor.org/activitati/casa-de-tranzitie/
100,Reactor Cluj,,Art,Non-governmental,High,Low,Low,Indirect impact,Local,https://reactor-cluj.com/en/home-page/
101,Association of Psychological Students from Romania (ASPR),"The association aims to represent, support and guide the Faculty of Psychology and Educational Sciences students within the UBB. Their goal is to build a safe environment where students can develop personally and professionally, learning more about the fields they are passionate about.",Youth,Non-governmental,High,Low,Low,Youth-lead,Local,https://www.facebook.com/asprcluj/
102,County Council of Students Cluj (CJE),"The mission of the County Council of Cluj Students is defined by the commitment to represent the students in the county and to defend their rights, obligations and freedoms responsibly, according to the regulatory document ""Statutul Elevului"" in force.",Youth,Non-governmental,High,Low,Low,Youth-lead,Local,https://cjecluj.ro/
103,Intercommunity Development Association Cluj Metropolitan Area (ADIZMC),"The Intercommunity Development Association Cluj Metropolitan Area (ADIZMC) aims at aspects such as: development and modernization of transport infrastructure; protecting and improving the quality of the environment; developing human resources, increasing employment and combating social exclusion; developing the rural economy and increasing productivity in the agricultural sector;",Social,Public,High,Low,High,,Local,http://www.adizmc.ro/
104,"Directorate of Social and Medical Assistance (DASM), Cluj","The Department of Social and Medical Assistance Cluj aims to ensure access to quality social and medical services for the citizens of Cluj, regardless of their financial or social situation. The institution focuses on protecting and supporting vulnerable groups, such as people with disabilities, children and young people, older people and families in difficulty.",Health,Public,Low,Low,Low,Indirect impact,Local,http://dasmclujnapoca.ro/
105,The Romanian Federation of Medical Students' Associations (FASMR),"FASMR - the Federation of Medical Student Associations from Romania is a federal, independent, non-governmental and apolitical democratic organization representing medical students' professional, scientific, social and cultural interests. FASMR is a full member of IFMSA (International Federation of Medical Students' Associations).",Youth,Non-governmental,Low,Low,Low,Youth organizations,National,https://fasmr.ro/descriere/
106,Babeș-Bolyai University Students' Organization (OSUBB),"OSUBB is the University organization that has contact with students from all the faculties of UBB, both through the openness offered by the unconditional access to the faculties of UBB and through its communication network with these students, through Facebook groups, the Facebook page, of the site and the volunteers from all the faculties of UBB.",Youth,Non-governmental,High,Low,Low,Youth-lead,Local,https://osubb.ro/
107,The Student Organization of the Technical University of Cluj-Napoca (OSUT),"The Student Organization of the Cluj-Napoca Technical University (OSUT) is a non-profit organization with civic activity members of ANOSR. OSUT represents and defends the rights of students from the Technical University of Cluj-Napoca, contributing to their educational, social and cultural needs.",Youth,Non-governmental,Low,Low,Low,Youth-lead,Local,https://osut.org/
108,The Federation of Non-Governmental Youth Organizations from Iași (FONTIS),"The Federation of Non-Governmental Youth Organizations from Iași - FONTIS is the representative youth structure from Iași County. Currently, FONTIS counts 33 structures of and for youth in the county, together with which it aims to develop the first youth strategy of Iași, to invest in the capacity of the non-governmental youth sector and to contribute to the development of the community actively.",Youth,Non-governmental,High,High,High,Youth-focused,Local,https://fontis.ro/
109,Make up your business,,Other,Private,High,Low,Low,Indirect impact,Local,https://www.facebook.com/people/Make-up-your-business/100068030153339/?locale=ro_RO
110,Coaching Partners,"Their mission is to increase individual and organizational performance through coaching. They support the training of coaching professionals, who can catalyze the assumed change.",Education,Private,High,High,High,Indirect impact,National,https://www.coachingpartners.ro/
